id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id
6989,1769872700.7715,27.0712,4.49618,0.219482,-0.020752,-1.02173,-0.412214,0.580153,3.50382,HIGH,v5_stream
6990,1769872701.0246,27.1653,10.8855,-0.0119629,-0.191895,-1.05518,0.465649,2.36641,8.05344,HIGH,v5_stream
6991,1769872701.0246,27.0241,1.99237,0.181885,-0.103516,-1.12646,-0.961832,-0.832061,0.198473,HIGH,v5_stream
6992,1769872701.0246,27.0241,5.98473,0.259277,0.0290527,-1.06567,-0.709924,-1.58015,-3.69466,HIGH,v5_stream
6993,1769872702.0246,27.1182,7.83969,0.358154,-0.15332,-1.07861,-1.24427,-0.0152672,-6.58015,HIGH,v5_stream
6994,1769872702.0246,26.9771,16.9466,0.400391,-0.210205,-1.08423,-2.48092,-3.47328,-10.9924,HIGH,v5_stream
6995,1769872702.2547,27.0712,3.62595,0.494629,-0.240967,-1.00757,0.770992,2.54962,0.305344,HIGH,v5_stream
6996,1769872702.2547,27.1182,6.66412,0.338623,-0.206543,-1.01489,1.71756,2.45802,2.48855,HIGH,v5_stream
6997,1769872703.2547,27.0712,7.30534,0.236328,-0.20166,-1.1167,1.83206,4.28244,-1.19084,HIGH,v5_stream
6998,1769872703.2547,27.1182,15.3359,-0.0610352,0.00976562,-1.01318,3.45038,5.35115,-6.53435,HIGH,v5_stream
6999,1769872703.2547,27.1182,22.458,0.0231934,0.00512695,-1.17725,2.03817,-0.603053,-19.8168,HIGH,v5_stream
7000,1769872703.4975,26.9771,20.2595,-0.00317383,0.103027,-1.01855,4.28244,6.00763,-9.96947,HIGH,v5_stream
7001,1769872704.4975,27.0241,25.916,0.192383,-0.00708008,-1.17773,0.435115,-3.94656,-21.5344,HIGH,v5_stream
7002,1769872704.4975,27.0241,38.8321,0.266602,0.0864258,-1.05371,1.31298,3.35115,-34.1679,HIGH,v5_stream
