id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id,timestamp_iso
248,1769901674.0881,28.2476,13.2214,0.342041,-0.132812,-1.06299,-2.1145,-0.175573,10.9313,LOW,v5_stream,2026-01-31T23:21:14.088099Z
249,1769901674.2881,28.2476,15.5573,0.233643,-0.118408,-1.08081,-1.59542,-0.00763359,13.9542,LOW,v5_stream,2026-01-31T23:21:14.288100Z
250,1769901674.4881,28.2947,23.9542,0.286377,-0.177734,-1.08911,-1.00763,2.32824,20.6183,LOW,v5_stream,2026-01-31T23:21:14.488100Z
251,1769901674.9329,28.2476,22.8244,0.24585,-0.17749,-1.09863,-1.0687,2.9313,18.8244,LOW,v5_stream,2026-01-31T23:21:14.932899Z
252,1769901675.1329,28.3418,5.40458,0.406738,-0.139648,-1.05322,-2.38931,-1.17557,1.83969,LOW,v5_stream,2026-01-31T23:21:15.132899Z
256,1769901675.1922,28.3418,6.92366,0.348877,-0.270752,-1.08057,-2.12977,4.61832,-0.175573,LOW,v5_stream,2026-01-31T23:21:15.192199Z
253,1769901675.3329,28.2947,14.7863,0.175537,-0.0559082,-1.10742,-0.473282,-0.694656,13.6183,LOW,v5_stream,2026-01-31T23:21:15.332900Z
257,1769901675.3922,28.3418,7.52672,0.330078,-0.064209,-1.09839,-1.35878,-4.0687,-2.09924,LOW,v5_stream,2026-01-31T23:21:15.392199Z
254,1769901675.5329,28.2947,15.9313,0.311768,-0.24292,-1.05273,-1.37405,5.32824,9.22901,LOW,v5_stream,2026-01-31T23:21:15.532900Z
258,1769901675.5922,28.3418,7.99237,0.150391,-0.18042,-1.10425,0.160305,2.36641,5.46565,LOW,v5_stream,2026-01-31T23:21:15.592200Z
255,1769901675.7329,28.2947,9.35878,0.31665,-0.122314,-1.07593,-2.1145,-3.56489,-3.67939,LOW,v5_stream,2026-01-31T23:21:15.732899Z
261,1769901676.4219,28.2947,26.9084,0.412354,-0.100586,-1.08252,-0.916031,-1.81679,-24.1756,LOW,v5_stream,2026-01-31T23:21:16.421900Z
262,1769901676.6219,28.2947,11.9008,0.236328,-0.117676,-1.06323,1.36641,-0.198473,-10.3359,LOW,v5_stream,2026-01-31T23:21:16.621900Z
259,1769901676.7922,28.2947,8.06107,0.38623,-0.257324,-1.07983,-1.62595,2.92366,-3.51145,LOW,v5_stream,2026-01-31T23:21:16.792200Z
260,1769901676.9922,28.2947,22.2443,0.281494,-0.104736,-1.08569,-1.29008,-2.61069,-18.3435,LOW,v5_stream,2026-01-31T23:21:16.992199Z
266,1769901677.7015,28.2947,13.9924,0.256836,-0.176514,-1.0918,-0.312977,0.748092,-12.9313,LOW,v5_stream,2026-01-31T23:21:17.701499Z
263,1769901677.8219,28.3888,17.229,0.328613,-0.218018,-1.09937,-0.992366,3.40458,-12.8321,LOW,v5_stream,2026-01-31T23:21:17.821899Z
264,1769901678.0219,28.2947,29.8168,0.361816,-0.0541992,-1.04614,-0.954198,-0.923664,-27.9389,LOW,v5_stream,2026-01-31T23:21:18.021899Z
265,1769901678.2219,28.3418,15.9008,0.259766,-0.0283203,-1.09277,0.458015,-1.01527,-14.4275,LOW,v5_stream,2026-01-31T23:21:18.221899Z
267,1769901678.9015,28.2006,22.0153,0.378174,-0.0725098,-1.08594,-1.30534,0.21374,-20.4962,LOW,v5_stream,2026-01-31T23:21:18.901499Z
271,1769901679.0235,28.2947,23.626,0.385498,0.0336914,-1.04883,-1.01527,0.244275,-22.3664,LOW,v5_stream,2026-01-31T23:21:19.023499Z
268,1769901679.1015,28.2006,22.6718,0.36499,0.032959,-1.05054,0.0305344,-1.64122,-21.0,LOW,v5_stream,2026-01-31T23:21:19.101500Z
272,1769901679.2235,28.3888,11.9695,0.248047,0.0715332,-1.10083,0.580153,-2.73282,-8.65649,LOW,v5_stream,2026-01-31T23:21:19.223500Z
269,1769901679.3015,28.3418,7.80916,0.248291,-0.0209961,-1.10352,0.389313,0.198473,-7.22137,LOW,v5_stream,2026-01-31T23:21:19.301500Z
273,1769901679.4235,28.3418,11.9618,0.304688,0.0505371,-1.10059,-0.549618,3.57252,-7.83969,LOW,v5_stream,2026-01-31T23:21:19.423500Z
270,1769901679.5015,28.2947,21.0229,0.309814,-0.00292969,-1.0542,-1.70229,2.29008,-17.0305,LOW,v5_stream,2026-01-31T23:21:19.501499Z
274,1769901679.6235,28.2947,22.6947,0.398193,0.0649414,-1.05298,-1.39695,0.748092,-20.5496,LOW,v5_stream,2026-01-31T23:21:19.623500Z
276,1769901680.2558,28.2947,3.61832,0.25293,0.00292969,-1.13818,-1.67939,1.35878,-0.580153,LOW,v5_stream,2026-01-31T23:21:20.255800Z
277,1769901680.4558,28.2006,14.3053,0.299316,0.157715,-1.06738,-1.01527,0.854962,-12.4351,LOW,v5_stream,2026-01-31T23:21:20.455800Z
